"scenario_id","horizon","location_name","target_end_date","model_name","value"
3,1,"New York",2023-11-18,4,0
3,1,"Oregon",2023-11-18,4,0
3,1,"Tennessee",2023-11-18,4,0
3,1,"US",2023-11-18,4,0
3,1,"Utah",2023-11-18,4,0
3,1,"California",2023-11-18,5,0
3,1,"Colorado",2023-11-18,5,0
3,1,"Connecticut",2023-11-18,5,1
3,1,"Georgia",2023-11-18,5,1
3,1,"Maryland",2023-11-18,5,0
3,1,"Michigan",2023-11-18,5,0
3,1,"Minnesota",2023-11-18,5,0
3,1,"New Mexico",2023-11-18,5,0
3,1,"New York",2023-11-18,5,0
3,1,"Oregon",2023-11-18,5,1
3,1,"Tennessee",2023-11-18,5,0
3,1,"US",2023-11-18,5,0
3,1,"Utah",2023-11-18,5,1
3,1,"California",2023-11-18,6,0
3,1,"Colorado",2023-11-18,6,0
3,1,"Connecticut",2023-11-18,6,0
3,1,"Georgia",2023-11-18,6,0
3,1,"Maryland",2023-11-18,6,0
3,1,"Michigan",2023-11-18,6,0
3,1,"Minnesota",2023-11-18,6,0
3,1,"New Mexico",2023-11-18,6,0
3,1,"New York",2023-11-18,6,0
3,1,"Oregon",2023-11-18,6,1
3,1,"Tennessee",2023-11-18,6,0
3,1,"US",2023-11-18,6,0
3,1,"Utah",2023-11-18,6,1
3,1,"California",2023-11-18,7,0
3,1,"Colorado",2023-11-18,7,0
3,1,"Connecticut",2023-11-18,7,0
3,1,"Georgia",2023-11-18,7,0
3,1,"Maryland",2023-11-18,7,0
3,1,"Michigan",2023-11-18,7,0
3,1,"Minnesota",2023-11-18,7,0
3,1,"New Mexico",2023-11-18,7,0
3,1,"New York",2023-11-18,7,0
3,1,"Oregon",2023-11-18,7,1
3,1,"Tennessee",2023-11-18,7,0
3,1,"US",2023-11-18,7,0
3,1,"Utah",2023-11-18,7,1
4,1,"California",2023-11-18,1,0
4,1,"Colorado",2023-11-18,1,0
4,1,"Connecticut",2023-11-18,1,0
4,1,"Georgia",2023-11-18,1,0
4,1,"Maryland",2023-11-18,1,0
4,1,"Michigan",2023-11-18,1,0
4,1,"Minnesota",2023-11-18,1,0
4,1,"New Mexico",2023-11-18,1,0
4,1,"New York",2023-11-18,1,0
4,1,"Oregon",2023-11-18,1,0
4,1,"Tennessee",2023-11-18,1,0
4,1,"US",2023-11-18,1,0
4,1,"Utah",2023-11-18,1,0
4,1,"California",2023-11-18,2,0
4,1,"Colorado",2023-11-18,2,0
4,1,"Connecticut",2023-11-18,2,0.125
4,1,"Georgia",2023-11-18,2,0.125
4,1,"Maryland",2023-11-18,2,0
4,1,"Michigan",2023-11-18,2,0
4,1,"Minnesota",2023-11-18,2,0
4,1,"New Mexico",2023-11-18,2,0
4,1,"New York",2023-11-18,2,0
4,1,"Oregon",2023-11-18,2,0.125
4,1,"Tennessee",2023-11-18,2,0
4,1,"US",2023-11-18,2,0
4,1,"Utah",2023-11-18,2,0
4,1,"California",2023-11-18,4,0
4,1,"Colorado",2023-11-18,4,0
4,1,"Connecticut",2023-11-18,4,1
4,1,"Georgia",2023-11-18,4,1
4,1,"Maryland",2023-11-18,4,0
4,1,"Michigan",2023-11-18,4,0
4,1,"Minnesota",2023-11-18,4,0
4,1,"New Mexico",2023-11-18,4,0
4,1,"New York",2023-11-18,4,0
4,1,"Oregon",2023-11-18,4,0
4,1,"Tennessee",2023-11-18,4,0
4,1,"US",2023-11-18,4,0
4,1,"Utah",2023-11-18,4,0
4,1,"California",2023-11-18,5,0
4,1,"Colorado",2023-11-18,5,0
4,1,"Connecticut",2023-11-18,5,0
4,1,"Georgia",2023-11-18,5,0
4,1,"Maryland",2023-11-18,5,0
4,1,"Michigan",2023-11-18,5,0
4,1,"Minnesota",2023-11-18,5,0
4,1,"New Mexico",2023-11-18,5,0
4,1,"New York",2023-11-18,5,0
4,1,"Oregon",2023-11-18,5,1
4,1,"Tennessee",2023-11-18,5,0
4,1,"US",2023-11-18,5,0
4,1,"Utah",2023-11-18,5,0
4,1,"California",2023-11-18,6,0
4,1,"Colorado",2023-11-18,6,0
4,1,"Connecticut",2023-11-18,6,0
4,1,"Georgia",2023-11-18,6,0
4,1,"Maryland",2023-11-18,6,0
4,1,"Michigan",2023-11-18,6,0
4,1,"Minnesota",2023-11-18,6,0
4,1,"New Mexico",2023-11-18,6,0
4,1,"New York",2023-11-18,6,0
4,1,"Oregon",2023-11-18,6,0
4,1,"Tennessee",2023-11-18,6,0
4,1,"US",2023-11-18,6,0
4,1,"Utah",2023-11-18,6,0
4,1,"California",2023-11-18,7,0
4,1,"Colorado",2023-11-18,7,0
4,1,"Connecticut",2023-11-18,7,0
4,1,"Georgia",2023-11-18,7,0
4,1,"Maryland",2023-11-18,7,0
4,1,"Michigan",2023-11-18,7,0
4,1,"Minnesota",2023-11-18,7,0
4,1,"New Mexico",2023-11-18,7,0
4,1,"New York",2023-11-18,7,0
4,1,"Oregon",2023-11-18,7,0
4,1,"Tennessee",2023-11-18,7,0
4,1,"US",2023-11-18,7,0
4,1,"Utah",2023-11-18,7,0
5,1,"California",2023-11-18,1,0
5,1,"Colorado",2023-11-18,1,0
5,1,"Connecticut",2023-11-18,1,1
5,1,"Georgia",2023-11-18,1,1
5,1,"Maryland",2023-11-18,1,0
5,1,"Michigan",2023-11-18,1,0
5,1,"Minnesota",2023-11-18,1,0
5,1,"New Mexico",2023-11-18,1,0
5,1,"New York",2023-11-18,1,0
5,1,"Oregon",2023-11-18,1,0
5,1,"Tennessee",2023-11-18,1,0
5,1,"US",2023-11-18,1,0
5,1,"Utah",2023-11-18,1,0.25
5,1,"California",2023-11-18,2,0
5,1,"Colorado",2023-11-18,2,0
5,1,"Connecticut",2023-11-18,2,1
5,1,"Georgia",2023-11-18,2,1
5,1,"Maryland",2023-11-18,2,0
5,1,"Michigan",2023-11-18,2,0
5,1,"Minnesota",2023-11-18,2,0
5,1,"New Mexico",2023-11-18,2,0
5,1,"New York",2023-11-18,2,0
5,1,"Oregon",2023-11-18,2,0.125
5,1,"Tennessee",2023-11-18,2,0
5,1,"US",2023-11-18,2,0
5,1,"Utah",2023-11-18,2,0.25
5,1,"California",2023-11-18,4,0
5,1,"Colorado",2023-11-18,4,0
5,1,"Connecticut",2023-11-18,4,1
5,1,"Georgia",2023-11-18,4,1
5,1,"Maryland",2023-11-18,4,0
5,1,"Michigan",2023-11-18,4,0
5,1,"Minnesota",2023-11-18,4,0
5,1,"New Mexico",2023-11-18,4,0
5,1,"New York",2023-11-18,4,0
5,1,"Oregon",2023-11-18,4,0
5,1,"Tennessee",2023-11-18,4,0
5,1,"US",2023-11-18,4,0
5,1,"Utah",2023-11-18,4,0
5,1,"California",2023-11-18,5,0
5,1,"Colorado",2023-11-18,5,0
5,1,"Connecticut",2023-11-18,5,1
5,1,"Georgia",2023-11-18,5,1
5,1,"Maryland",2023-11-18,5,0
5,1,"Michigan",2023-11-18,5,0
5,1,"Minnesota",2023-11-18,5,0
5,1,"New Mexico",2023-11-18,5,0
5,1,"New York",2023-11-18,5,0
5,1,"Oregon",2023-11-18,5,0
5,1,"Tennessee",2023-11-18,5,0
5,1,"US",2023-11-18,5,0
5,1,"Utah",2023-11-18,5,1
5,1,"California",2023-11-18,6,0
5,1,"Colorado",2023-11-18,6,0
5,1,"Connecticut",2023-11-18,6,1
5,1,"Georgia",2023-11-18,6,1
5,1,"Maryland",2023-11-18,6,0
5,1,"Michigan",2023-11-18,6,0
5,1,"Minnesota",2023-11-18,6,0
5,1,"New Mexico",2023-11-18,6,0
5,1,"New York",2023-11-18,6,0
5,1,"Oregon",2023-11-18,6,0
5,1,"Tennessee",2023-11-18,6,0
5,1,"US",2023-11-18,6,0
5,1,"Utah",2023-11-18,6,0
5,1,"California",2023-11-18,7,0
5,1,"Colorado",2023-11-18,7,0
5,1,"Connecticut",2023-11-18,7,1
5,1,"Georgia",2023-11-18,7,1
5,1,"Maryland",2023-11-18,7,0
5,1,"Michigan",2023-11-18,7,0
5,1,"Minnesota",2023-11-18,7,0
5,1,"New Mexico",2023-11-18,7,0
5,1,"New York",2023-11-18,7,0
5,1,"Oregon",2023-11-18,7,1
5,1,"Tennessee",2023-11-18,7,0
5,1,"US",2023-11-18,7,0
5,1,"Utah",2023-11-18,7,1
1,2,"California",2023-11-25,1,1
1,2,"Colorado",2023-11-25,1,0.75
1,2,"Connecticut",2023-11-25,1,0.25
1,2,"Georgia",2023-11-25,1,0
1,2,"Maryland",2023-11-25,1,0
1,2,"Michigan",2023-11-25,1,0
1,2,"Minnesota",2023-11-25,1,0
1,2,"New Mexico",2023-11-25,1,0
1,2,"New York",2023-11-25,1,0
1,2,"Oregon",2023-11-25,1,0.75
1,2,"Tennessee",2023-11-25,1,0
1,2,"US",2023-11-25,1,0
1,2,"Utah",2023-11-25,1,0
1,2,"California",2023-11-25,2,0.875
1,2,"Colorado",2023-11-25,2,0.5
1,2,"Connecticut",2023-11-25,2,0.25
1,2,"Georgia",2023-11-25,2,0
1,2,"Maryland",2023-11-25,2,0
1,2,"Michigan",2023-11-25,2,0
1,2,"Minnesota",2023-11-25,2,0.25
1,2,"New Mexico",2023-11-25,2,0
1,2,"New York",2023-11-25,2,0
1,2,"Oregon",2023-11-25,2,0.75
1,2,"Tennessee",2023-11-25,2,0.125
