"location","date","age_group","target","value"
"36","2023-11-25","0.5-0.99","cum hosp",131.746671
"35","2023-11-25","0.5-0.99","cum hosp",16.736905
"27","2023-11-25","0.5-0.99","cum hosp",29.9491875
"26","2023-11-25","0.5-0.99","cum hosp",51.151845
"24","2023-11-25","0.5-0.99","cum hosp",53.009607
"13","2023-11-25","0.5-0.99","cum hosp",22.366766
"09","2023-11-25","0.5-0.99","cum hosp",27.530225
"08","2023-11-25","0.5-0.99","cum hosp",62.175463
"06","2023-11-25","0.5-0.99","cum hosp",113.939932
"US","2023-11-25","0.5-0.99","cum hosp",1758.6864575
"49","2023-11-25","65-130","cum hosp",2.8364
"47","2023-11-25","65-130","cum hosp",87.911208
"41","2023-11-25","65-130","cum hosp",27.733052
"36","2023-11-25","65-130","cum hosp",270.831776
"35","2023-11-25","65-130","cum hosp",0
"27","2023-11-25","65-130","cum hosp",23.940768
"26","2023-11-25","65-130","cum hosp",131.62345
"24","2023-11-25","65-130","cum hosp",146.18926
"13","2023-11-25","65-130","cum hosp",184.243024
"09","2023-11-25","65-130","cum hosp",112.76406
"08","2023-11-25","65-130","cum hosp",35.647482
"06","2023-11-25","65-130","cum hosp",744.845387
"US","2023-11-25","65-130","cum hosp",4681.383012
"49","2023-11-25","0-130","cum hosp",43.891094
"49","2023-11-25","1-1.99","cum hosp",3.15861
"47","2023-11-25","0-130","cum hosp",351.53035
"47","2023-11-25","1-1.99","cum hosp",25.326474
"41","2023-11-25","0-130","cum hosp",101.72796
"41","2023-11-25","1-1.99","cum hosp",14.072583
"36","2023-11-25","0-130","cum hosp",1218.74578
"36","2023-11-25","1-1.99","cum hosp",117.4185
"35","2023-11-25","0-130","cum hosp",128.104819
"35","2023-11-25","1-1.99","cum hosp",50.833179
"27","2023-11-25","0-130","cum hosp",234.378468
"27","2023-11-25","1-1.99","cum hosp",49.894584
"26","2023-11-25","0-130","cum hosp",531.699975
"26","2023-11-25","1-1.99","cum hosp",59.985453
"24","2023-11-25","0-130","cum hosp",459.98475
"24","2023-11-25","1-1.99","cum hosp",35.281968
"13","2023-11-25","0-130","cum hosp",542.7727
"13","2023-11-25","1-1.99","cum hosp",48.300879
"09","2023-11-25","0-130","cum hosp",336.761277
"09","2023-11-25","1-1.99","cum hosp",39.8643
"08","2023-11-25","0-130","cum hosp",319.20614
"08","2023-11-25","1-1.99","cum hosp",53.31969
"06","2023-11-25","0-130","cum hosp",1944.32755
"06","2023-11-25","1-1.99","cum hosp",187.26876
"US","2023-11-25","0-130","cum hosp",17274.403432
"US","2023-11-25","1-1.99","cum hosp",2113.813213
"49","2023-11-25","5-17","cum hosp",0
"47","2023-11-25","5-17","cum hosp",26.052422
"41","2023-11-25","5-17","cum hosp",5.047312
"36","2023-11-25","5-17","cum hosp",64.461562
"35","2023-11-25","5-17","cum hosp",10.135036
"27","2023-11-25","5-17","cum hosp",22.172828
"26","2023-11-25","5-17","cum hosp",42.47829
"24","2023-11-25","5-17","cum hosp",21.928368
"13","2023-11-25","5-17","cum hosp",35.686541
"09","2023-11-25","5-17","cum hosp",25.273458
"08","2023-11-25","5-17","cum hosp",12.691686
"06","2023-11-25","5-17","cum hosp",102.048464
"US","2023-11-25","5-17","cum hosp",1024.300298
"49","2023-11-25","18-49","cum hosp",0
"47","2023-11-25","18-49","cum hosp",8.732643
"41","2023-11-25","18-49","cum hosp",10.871598
"36","2023-11-25","18-49","cum hosp",90.485527
"35","2023-11-25","18-49","cum hosp",0
"27","2023-11-25","18-49","cum hosp",2.346543
"26","2023-11-25","18-49","cum hosp",36.41004
"24","2023-11-25","18-49","cum hosp",17.599841
"13","2023-11-25","18-49","cum hosp",55.730916
"09","2023-11-25","18-49","cum hosp",26.448012
"08","2023-11-25","18-49","cum hosp",7.904154
"06","2023-11-25","18-49","cum hosp",85.334155
"US","2023-11-25","18-49","cum hosp",973.53599
"49","2023-11-25","2-4","cum hosp",3.107984
"47","2023-11-25","2-4","cum hosp",32.98293
"41","2023-11-25","2-4","cum hosp",4.772914
"36","2023-11-25","2-4","cum hosp",251.946632
"35","2023-11-25","2-4","cum hosp",16.929759
"27","2023-11-25","2-4","cum hosp",41.420865
"26","2023-11-25","2-4","cum hosp",102.625848
"24","2023-11-25","2-4","cum hosp",44.377632
